"","year","month","date_of_month","day_of_week","births"
"1",1994,1,1,6,8096
"2",1994,1,2,7,7772
"3",1994,1,3,1,10142
"4",1994,1,4,2,11248
"5",1994,1,5,3,11053
"6",1994,1,6,4,11406
"7",1994,1,7,5,11251
"8",1994,1,8,6,8653
"9",1994,1,9,7,7910
"10",1994,1,10,1,10498
"11",1994,1,11,2,11706
"12",1994,1,12,3,11567
"13",1994,1,13,4,11212
"14",1994,1,14,5,11570
"15",1994,1,15,6,8660
"16",1994,1,16,7,8123
"17",1994,1,17,1,10567
"18",1994,1,18,2,11541
"19",1994,1,19,3,11257
"20",1994,1,20,4,11682
"21",1994,1,21,5,11811
"22",1994,1,22,6,8833
"23",1994,1,23,7,8310
"24",1994,1,24,1,11125
"25",1994,1,25,2,11981
"26",1994,1,26,3,11514
"27",1994,1,27,4,11702
"28",1994,1,28,5,11666
"29",1994,1,29,6,8988
"30",1994,1,30,7,8096
"31",1994,1,31,1,10765
"32",1994,2,1,2,11755
"33",1994,2,2,3,11483
"34",1994,2,3,4,11523
"35",1994,2,4,5,11677
"36",1994,2,5,6,8991
"37",1994,2,6,7,8309
"38",1994,2,7,1,10984
"39",1994,2,8,2,12152
"40",1994,2,9,3,11515
"41",1994,2,10,4,11623
"42",1994,2,11,5,11517
"43",1994,2,12,6,8945
"44",1994,2,13,7,8171
"45",1994,2,14,1,11551
"46",1994,2,15,2,12164
"47",1994,2,16,3,12009
"48",1994,2,17,4,11674
"49",1994,2,18,5,11887
"50",1994,2,19,6,8946
"51",1994,2,20,7,8402
"52",1994,2,21,1,10617
"53",1994,2,22,2,11810
"54",1994,2,23,3,11776
"55",1994,2,24,4,11667
"56",1994,2,25,5,11905
"57",1994,2,26,6,8988
"58",1994,2,27,7,8195
"59",1994,2,28,1,11091
"60",1994,3,1,2,12127
"61",1994,3,2,3,11735
"62",1994,3,3,4,11984
"63",1994,3,4,5,12066
"64",1994,3,5,6,9215
"65",1994,3,6,7,8389
"66",1994,3,7,1,10996
"67",1994,3,8,2,12275
"68",1994,3,9,3,11780
"69",1994,3,10,4,11792
"70",1994,3,11,5,11939
"71",1994,3,12,6,9087
"72",1994,3,13,7,8248
"73",1994,3,14,1,11092
"74",1994,3,15,2,12298
"75",1994,3,16,3,11865
"76",1994,3,17,4,11976
"77",1994,3,18,5,11799
"78",1994,3,19,6,8944
"79",1994,3,20,7,8243
"80",1994,3,21,1,11140
"81",1994,3,22,2,11964
"82",1994,3,23,3,11637
"83",1994,3,24,4,11904
"84",1994,3,25,5,11568
"85",1994,3,26,6,8957
"86",1994,3,27,7,8189
"87",1994,3,28,1,11051
"88",1994,3,29,2,12154
"89",1994,3,30,3,11540
"90",1994,3,31,4,11782
"91",1994,4,1,5,10630
"92",1994,4,2,6,8782
"93",1994,4,3,7,7530
"94",1994,4,4,1,10909
"95",1994,4,5,2,11876
"96",1994,4,6,3,11811
"97",1994,4,7,4,11718
